author id,created at,geo,id,lang,tweet,sentiment value
1515785274,2020-03-25 19:32:06+00:00,803089e5de2b8c9b,1242897063668563971,en,Students Get Texas AampM Kingsville classes to be a passfail for rest of semester due to COVID19  Sign the Petition  via ,0.0
2218919155,2020-03-25 19:30:04+00:00,803089e5de2b8c9b,1242896550252236801,en,Students Get Texas AampM Kingsville classes to be a passfail for rest of semester due to COVID19  Sign the Petition  via ,0.0
2381628680,2020-03-25 18:41:07+00:00,6c80b8c28fd29be3,1242884231757430785,en,Students Get Texas AampM Kingsville classes to be a passfail for rest of semester due to COVID19  Sign the Petition  via ,0.0
31969340,2020-03-25 16:22:01+00:00,07d9c999f3084000,1242849229183291395,en,Shout out to  Mike Fossum and Texas AampM University Galveston Campus  for their support to   ,0.4019
4653609972,2020-03-25 09:14:49+00:00,f664c6f63c0bef35,1242741717142573056,en,Students Get Texas AampM Kingsville classes to be a passfail for rest of semester due to COVID19  Sign the Petition  via ,0.0
319376753,2020-03-25 03:21:43+00:00,8935eb0e13a342db,1242652857767284736,en,Students Get Texas AampM Kingsville classes to be a passfail for rest of semester due to COVID19  Sign the Petition  via ,0.0
550577641,2020-03-25 00:19:25+00:00,a3d770a00f15bcb1,1242606980717559813,en,Texas AampM University Corpus Christi Offering PassFail Option for TAMUCC Classes Due to COVID19  Sign the Petition  via ,0.0
1024126764015149058,2020-03-24 23:25:36+00:00,3df4f427b5a60fea,1242593437959979010,en,Texas AampM University  San Antonio Texas AampM SA students petition to have this semester be passfail due to COVID19  Sign the Petition  via ,0.0
100096116,2020-03-24 22:14:05+00:00,9d8ae4b0fac2036a,1242575439908016128,en,Urge  to Close Dog Laboratory   via While they are closed because of the  whats happening with those dogs Are they trapped in there,-0.5267
524048475,2020-03-24 20:17:12+00:00,7a41192a2879ee24,1242546025610567680,en,Texas AampM University Corpus Christi Offering PassFail Option for TAMUCC Classes Due to COVID19  Sign the Petition  via ,0.0
169340218,2020-03-24 19:24:01+00:00,a3d770a00f15bcb1,1242532642723168257,en,Texas AampM University Corpus Christi Offering PassFail Option for TAMUCC Classes Due to COVID19  Sign the Petition  via ,0.0
933054885993607170,2020-03-24 16:43:15+00:00,3df4f427b5a60fea,1242492183363620865,en,Texas AampM University  San Antonio Texas AampM SA students petition to have this semester be passfail due to COVID19  Sign the Petition  via ,0.0
2258250762,2020-03-24 15:52:10+00:00,a3d770a00f15bcb1,1242479329373827073,en,Texas AampM University Corpus Christi Offering PassFail Option for TAMUCC Classes Due to COVID19  Sign the Petition  via ,0.0
69037182,2020-03-24 15:30:24+00:00,1010ecfa7d3a40f8,1242473849050091520,en,Former cbb star David Edwards started at Georgetown amp transferred to Texas AampM where he holds the single season assist record passed away from novel coronavirus ,0.3182
1061334018426318849,2020-03-24 15:15:37+00:00,00c39537733fa112,1242470129600008192,en,RIP David Edwards Please Be Safe Out There YallExTexas AampM star guard dies after battling virus ,0.4767
