author id,created_at,geo,id,lang,tweet
1150939718722494469,2020-01-29 19:44:31+00:00, ,1222606467632697352,en,RT  After a Texas AampM University student recently tested negative for the novel coronavirus after visiting Wuhan China the uni
13678962,2020-01-29 19:04:14+00:00, ,1222596331992178688,en,RT  NEW  halts nonessential travel to China over  outbreak announced same yesterday 
160238844,2020-01-29 19:02:00+00:00, ,1222595769611554816,en,NEW  halts nonessential travel to China over  outbreak announced same yesterday 
1717201218,2020-01-29 19:00:48+00:00, ,1222595464245252096,en,RT  UPDATE Results negative for Texas AampM student tested for coronavirus   
996141657803370496,2020-01-29 18:48:58+00:00, ,1222592487849693185,en,RT  hey guys my mom has a compromised immune system and coronavirus could literally wreak havoc on her while for us it would
783014756487606272,2020-01-29 18:33:34+00:00, ,1222588612400812035,en,hey guys my mom has a compromised immune system and coronavirus could literally wreak havoc on her while for us it would just be like a bad fluim actually really scared if youre in texas especially near aampm and baylor please just wash your hands and cover your mouth
449227013,2020-01-29 18:31:38+00:00, ,1222588127707123712,en,RT  I dont know about yall but I hope this virus comes with a lime
588529096,2020-01-29 16:27:13+00:00, ,1222556816988610560,en,Texas AampM University is suspending all trips to China for undergraduate students because of coronavirus outbreak  via  
3301310145,2020-01-29 15:07:15+00:00, ,1222536691358941185,en,RT     UniMelbMDHS BrownMedicine harvardmed Col
763557177923481600,2020-01-29 13:03:39+00:00, ,1222505588439031808,en,Texas AampM student does not have coronavirus health officials say  
156408633,2020-01-29 12:46:59+00:00, ,1222501394034372609,en,RT  Texas AampM confirms possible case of coronavirus   
17588130,2020-01-29 09:30:01+00:00, ,1222451822402658304,en,After a Texas AampM University student recently tested negative for the novel coronavirus after visiting Wuhan China the university has suspended all universitysponsored travel to the country 
621294933,2020-01-29 08:15:02+00:00, ,1222432952715501570,en,This comes after a Texas AampM student who visited China tested negative for the novel coronavirus 
2509497630,2020-01-29 08:12:05+00:00, ,1222432209686024195,en,RT     UniMelbMDHS BrownMedicine harvardmed Col
2833298730,2020-01-29 05:49:06+00:00, ,1222396228740231170,en,RT  Texas AampM confirms possible case of coronavirus   
732902679102382080,2020-01-29 05:37:40+00:00, ,1222393351904743424,en,RT     UniMelbMDHS BrownMedicine harvardmed Col
2860822496,2020-01-29 05:33:28+00:00, ,1222392293778321409,en,   UniMelbMDHS BrownMedicine harvardmed ColumbiaMed JohnsHopkins DukeMedSchool umichmedicine NebraskaMed widfm UChicagoMed NUFeinbergMed UCSF McGovernMed TAMU BCMHouston TIME Gizmodo WIREDScience WSJ nytimes Ruptly
26509427,2020-01-29 03:30:02+00:00, ,1222361229651521536,en,HALTED STUDY ABROAD Texas AampM University is suspending all universitysponsored travel to China for undergraduate students
41836899,2020-01-29 03:30:00+00:00, ,1222361224152743937,en,HALTED STUDY ABROAD Texas AampM University is suspending all universitysponsored travel to China for undergraduate students
168842448,2020-01-29 03:22:47+00:00, ,1222359407335563265,en,RT  UPDATE Results negative for Texas AampM student tested for coronavirus   
215452833,2020-01-29 02:15:00+00:00, ,1222342347247308801,en,RT  This comes after a Texas AampM student who visited China tested negative for the novel coronavirus 
1259537580,2020-01-29 02:02:30+00:00, ,1222339201175298054,en,RT  This comes after a Texas AampM student who visited China tested negative for the novel coronavirus 
15694286,2020-01-29 02:00:06+00:00, ,1222338598336442368,en,This comes after a Texas AampM student who visited China tested negative for the novel coronavirus 
3709863808,2020-01-29 01:23:09+00:00, ,1222329299845468161,en,RT  Texas AampM suspends all student nonessential faculty travel to China   
55476641,2020-01-29 01:06:46+00:00, ,1222325175422803968,en,RT  BREAKING Texas AampM suspends all undergrad student travel to China amid coronavirus outbreak 
146973070,2020-01-29 00:45:43+00:00, ,1222319878096523264,en,RT  Texas AampM suspends all student nonessential faculty travel to China   
1215729816886022145,2020-01-29 00:44:13+00:00, ,1222319502429474816,en,RT  Texas AampM suspends all student nonessential faculty travel to China   
15232635,2020-01-29 00:44:00+00:00, ,1222319448771698689,en,Texas AampM suspends all student nonessential faculty travel to China   
21095543,2020-01-29 00:42:42+00:00, ,1222319120395489280,en,RT  GOOD NEWS Texas AampM student doesnt have coronavirus But Texas will remain vigilant Tomorrow I meet with state he
712725949544923137,2020-01-29 00:25:21+00:00, ,1222314755517448192,en,RT  BREAKING Texas AampM suspends all undergrad student travel to China amid coronavirus outbreak 
794185310783451136,2020-01-29 00:24:50+00:00, ,1222314624734896129,en,RT  BREAKING Texas AampM suspends all undergrad student travel to China amid coronavirus outbreak 
323920783,2020-01-29 00:19:49+00:00, ,1222313362643615746,en, halt undergrad  student travel to  amid  outbreak Faculty staff and graduate researchers universitysponsored requests to travel to China will require preapproval and only be granted for essential travel
521156845,2020-01-29 00:18:32+00:00, ,1222313036905496576,en,  AampM suspends all undergrad student travel to  amid  outbreak 
14711395,2020-01-29 00:18:26+00:00, ,1222313014361313280,en,RT  BREAKING Texas AampM suspends all undergrad student travel to China amid coronavirus outbreak 
5692542,2020-01-29 00:15:14+00:00, ,1222312207469420545,en,BREAKING Texas AampM suspends all undergrad student travel to China amid coronavirus outbreak 
834095862762635265,2020-01-28 23:51:45+00:00, ,1222306300278775809,en,RT  JUST IN  will now screen passengers for the  So far all possible Texas cases came back negativ
170803700,2020-01-28 23:20:26+00:00, ,1222298418812420098,en,  The Texas AampM student tested negative  No one at AampM is under suspicion of having the virus
2241310772,2020-01-28 22:28:00+00:00, ,1222285221263020038,en,RT  Texas AampM suspends all travel to China amid coronavirus outbreak 
730845755573833728,2020-01-28 22:21:39+00:00, ,1222283624348823553,en,RT  BREAKING NEWS  Health officials are investigating a suspected case of coronavirus in the College Station area  https
26505985,2020-01-28 22:02:20+00:00, ,1222278760956858369,en, Texas AampM suspending nonessential travel to China due to coronavirus   
4465547958,2020-01-28 21:58:12+00:00, ,1222277724183650306,en,RT   Texas AampM University has suspended all student travel and nonessential travel by faculty staff and researchers
160710164,2020-01-28 21:56:36+00:00, ,1222277318049222658,en,RT   Texas AampM University has suspended all student travel and nonessential travel by faculty staff and researchers
2969562668,2020-01-28 21:54:53+00:00, ,1222276888317526016,en,RT   Texas AampM University has suspended all student travel and nonessential travel by faculty staff and researchers
