Month,Average Value
Dec-19,-0.112125
Jan-20,-0.098825309
Feb-20,-0.10737191
Mar-20,0.091712097
Apr-20,0.57524465
May-20,0.139620243
Jun-20,-0.089699795
Jul-20,0.183783369
Aug-20,0.089341564
Sep-20,0.067832854
Oct-20,0.019953441
Nov-20,-0.365623014
Dec-20,0.137671458
Jan-21,0.155311157
Feb-21,0.107718036
Mar-21,0.070548506
Apr-21,-0.148778144
May-21,0.00425
Jun-21,0.167790618
Jul-21,0.055751059
Aug-21,0.030260366
Sep-21,-0.030490612
Oct-21,0.051184211
